Время;Сообщение;Статус
17:41:30 24/05/25;Старт : Оператор sa Компьютер Компьютер 1 Версия 3.13.0.32952 3.13(Demo)_24_08_04_10_10;
17:42:52 24/05/25;Выход из Runtime : Оператор sa, Компьютер Компьютер 1;
