Время;Сообщение;Статус
18:05:53 24/05/25;Старт : Оператор sa Компьютер Компьютер 1 Версия 3.13.0.32952 3.13(Demo)_24_08_04_10_10;
18:07:48 24/05/25;Выход из Runtime : Оператор sa, Компьютер Компьютер 1;
