Время;Сообщение;Статус
16:43:22 24/05/25;Старт : Оператор sa Компьютер Компьютер 1 Версия 3.13.0.32952 3.13(Demo)_24_08_04_10_10;
16:44:19 24/05/25;Выход из Runtime : Оператор sa, Компьютер Компьютер 1;
